ESSN,PNO,HOURS
230206200106161111,P1,8
230206200106161112,P2,9
230206200106161113,P3,10
230206200106161114,P4,11
230206200106161115,P5,12
230206200106161116,P6,8
230206200106161117,P7,9
230206200106161118,P1,10
230206200106161119,P2,11
230206200106161120,P3,12
230206200106161121,P4,8
230206200106161122,P5,9
230206200106161123,P6,10
230206200106161124,P7,11
230206200106161125,P1,12
230206200106161126,P2,8
230206200106161127,P3,9
230206200106161128,P4,10
230206200106161129,P5,11
230206200106161130,P6,12
230206200106161131,P7,8
230206200106161132,P1,9
230206200106161133,P2,10
230206200106161134,P3,11
230206200106161135,P4,12
230206200106161136,P5,8
230206200106161137,P6,9
230206200106161138,P7,10
230206200106161139,P1,11
230206200106161140,P2,12
230206200106161141,P3,8
230206200106161142,P4,9
230206200106161143,P5,10
230206200106161144,P6,11
230206200106161145,P7,12
230206200106161146,P1,8
230206200106161147,P2,9
230206200106161148,P3,10
230206200106161149,P4,11
230206200106161150,P5,12
230206200106161151,P6,8
230206200106161152,P7,9
230206200106161153,P1,10
230206200106161154,P2,11
230206200106161155,P3,12
230206200106161156,P4,8
230206200106161157,P5,9
230206200106161158,P6,10
230206200106161159,P7,11
230206200106161160,P1,12
